"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2017001010","Oct. 2017","13000","Tokyo-to","36,978","19,003","17,975","30,350","16,113","14,237","29,203","15,937","13,266","1,147","176","971"
"60000","All nationalities","2017001010","Oct. 2017","14000","Kanagawa-ken","17,427","9,121","8,306","15,863","8,584","7,279","15,395","8,588","6,807","468","-4","472"
"60000","All nationalities","2017001010","Oct. 2017","15000","Niigata-ken","2,701","1,348","1,353","1,598","958","640","1,702","969","733","-104","-11","-93"
"60000","All nationalities","2017001010","Oct. 2017","16000","Toyama-ken","876","421","455","937","569","368","1,002","564","438","-65","5","-70"
"60000","All nationalities","2017001010","Oct. 2017","17000","Ishikawa-ken","1,158","591","567","1,346","785","561","1,352","796","556","-6","-11","5"
"60000","All nationalities","2017001010","Oct. 2017","18000","Fukui-ken","698","315","383","720","432","288","824","440","384","-104","-8","-96"
"60000","All nationalities","2017001010","Oct. 2017","19000","Yamanashi-ken","1,076","538","538","1,016","565","451","985","577","408","31","-12","43"
"60000","All nationalities","2017001010","Oct. 2017","20000","Nagano-ken","2,371","1,165","1,206","1,991","1,086","905","2,111","1,169","942","-120","-83","-37"
"60000","All nationalities","2017001010","Oct. 2017","21000","Gifu-ken","2,421","1,247","1,174","2,282","1,303","979","2,536","1,367","1,169","-254","-64","-190"
"60000","All nationalities","2017001010","Oct. 2017","22000","Shizuoka-ken","5,468","2,854","2,614","3,986","2,294","1,692","4,137","2,386","1,751","-151","-92","-59"
"60000","All nationalities","2017001010","Oct. 2017","23000","Aichi-ken","16,674","9,010","7,664","9,022","5,359","3,663","9,023","5,356","3,667","-1","3","-4"
"60000","All nationalities","2017001010","Oct. 2017","24000","Mie-ken","1,800","940","860","2,701","1,583","1,118","2,406","1,354","1,052","295","229","66"
"60000","All nationalities","2017001010","Oct. 2017","25000","Shiga-ken","1,561","774","787","1,998","1,103","895","1,996","1,146","850","2","-43","45"
"60000","All nationalities","2017001010","Oct. 2017","26000","Kyoto-fu","4,003","2,019","1,984","4,049","2,261","1,788","3,861","2,075","1,786","188","186","2"
